"C1","C2","weight"
"Papst","Eingreifen",0.330434782608696
"Papst","Treffen",0.378260869565217
"Papst","Alpen",0.395652173913044
"Papst","Pippin",0.573913043478261
"Papst","Frankenreich",0.295652173913043
"Papst","Italien",0.391304347826087
"Papst","Rom",0.334782608695652
"Papst","Stephan",0.208695652173913
"Könige","Pippin",0.326086956521739
"Könige","Sohn",0.339130434782609
"Könige","Karl",0.334782608695652
"Eingreifen","Pippin",0.521739130434783
"Eingreifen","Italien",0.339130434782609
"Vita","Karoli",0.208695652173913
"Namen","Pippin",0.61304347826087
"Namen","Karl",0.391304347826087
"Namen","Vater",0.378260869565217
"Namen","Namensgebung",0.317391304347826
"Martell","Karl",0.417391304347826
"Zeit","Pippin",0.208695652173913
"Jahr","Stephan",0.369565217391304
"Einhard","Vertrautem",0.208695652173913
"Alpen","Frankenreich",0.326086956521739
"Wert","Bildung",0.208695652173913
"Vertrautem","Karl",0.208695652173913
"Jugend","Karl",0.417391304347826
"Bündnis","Pippin",0.391304347826087
"Karlmann","Karl",0.395652173913044
"Karlmann","Bruder",0.41304347826087
"Leben","Karl",0.369565217391304
"Pippin","Königtums",0.317391304347826
"Pippin","Italien",0.391304347826087
"Pippin","Jüngeren",0.408695652173913
"Pippin","Bertrada",0.326086956521739
"Pippin","Sohn",1
"Pippin","Stephan",0.365217391304348
"Pippin","Karl",0.769565217391304
"Pippin","Vater",0.391304347826087
"Pippin","Grabmal",0.208695652173913
"Pippin","Saint-denis",0.339130434782609
"Austrasien","Reichsteil",0.208695652173913
"Annales","Regni",0.208695652173913
"Karoli","Magni",0.208695652173913
"Aistulf","Langobardenkönigs",0.208695652173913
"Jüngeren","Bertrada",0.343478260869565
"Bertrada","Ehefrau",0.208695652173913
"Bertrada","Frau",0.208695652173913
"Klosters","Lorsch",0.208695652173913
"Karolinger","Karl",0.356521739130435
"Karolinger","Familie",0.408695652173913
"Childerich","Merowingerkönig",0.208695652173913
"Sohn","Karl",0.395652173913044
"Schwester","Gisela",0.208695652173913
"Karl","Vater",0.395652173913044
"Karl","Familie",0.547826086956522
"Karl","Kindheit",0.38695652173913
"Karl","Bruder",0.408695652173913
"Patricius","Ehrentitel",0.208695652173913
"Regni","Francorum",0.208695652173913
